cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,2018/m08,2018/m09,2018/m10,2018/m11,2018/m12,2019/m01,2019/m02,2019/m03,2019/m04,2019/m05,2019/m06,2019/m07,2019/m08,2019/m09,2019/m10,2019/m11,2019/m12,2020/m01,2020/m02,2020/m03,2020/m04,2020/m05,2020/m06,2020/m07,2020/m08,2020/m09,2020/m10,2020/m11,2020/m12,2021/m01,2021/m02,2021/m03,2021/m04,2021/m05,2021/m06,2021/m07,2021/m08,2021/m09,2021/m10,2021/m11,2021/m12,2022/m01,2022/m02,2022/m03,2022/m04,2022/m05,2022/m06,2022/m07,2022/m08,2022/m09,2022/m10,2022/m11,2022/m12,2023/m01,2023/m02,2023/m03,2023/m04,2023/m05,2023/m06,2023/m07,2023/m08,2023/m09,2023/m10,2023/m11,2023/m12,2024/m01,2024/m02,2024/m03,2024/m04,2024/m05,2024/m06,2024/m07,2024/m08,2024/m09,2024/m10,2024/m11,2024/m12,2025/m01,2025/m02,2025/m03,2025/m04,2025/m05,2025/m06,2025/m07,2025/m08,2025/m09,2025/m10,2025/m11,2025/m12,unidad_medida
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123179,"Gasto medio de los visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Excursionistas fronterizos>Peatones. Absoluto",33.88,38.74,32.05,33.88,36.03,34.64,34.78,32.24,32.04,34.05,38.66,35.52,36.86,31.48,28.79,27.34,33.17,30.8,33.72,34.47,36.8,34.83,34.39,40.63,39.87,34.18,33.8,34.25,35.39,40.42,44.29,45.35,45.38,46.72,48.56,46.67,49.04,51.47,45.82,43.6,45.34,41.49,39.96,45.15,47.45,43.71,43.12,44.28,44.5,43.99,46.24,45.11,45.94,44.32,44.12,45.46,45.45,45.35,48.93,47.32,49.09,45.39,45.05,50.31,51.45,42.31,40.85,43.37,44.2,53.98,48.46,48.4,48.38,50.96,42.74,43.3,41.96,46.02,51.95,41.51,44.2,46.15,47.15,50.14,43.36,47.28,46.31,47.38,46.84,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123180,"Gasto total de los visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Excursionistas en cruceros. Absoluto",35649178,31082664,43106028,49440171,61182292,66481257,55192804,65847690,63372322,37269644,35927176,41146567,41066095,36284509,49773610,58914536,74689596,76155764,58104276,48044860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823115,3094935,6810633,12385798,19248696,35531922,46477032,30497905,34938022,52669669,47127174,33289832,36565242,36638014,38291396,33779072,46325510,71283284,81333936,86227247,70372109,84391046,65806250,50231126,50846698,47693771,49550509,39408311,53708004,63626078,80453037,88510379,78796089,85921826,72536288,56129914,53217294,63139255,59059761,41913109,66931512,81218447,101652448,99144689,92370591,96681097,80505139,59009627,56449519,69142118,57349394,58203531,81726944,97327003,118764478,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123181,"Número de visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Excursionistas en cruceros. Absoluto",529360,471095,644200,732247,899916,970953,810625,961640,916825,546941,527812,596917,597161,530560,706047,852321,1076848,1084297,830005,666071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15559,46178,101405,176381,281801,489756,642682,430131,483282,693888,629262,437155,472473,476694,494004,435983,596581,904863,1020845,1065107,873166,1039389,822940,622104,631572,594492,607937,496031,669903,791407,983596,1054594,947533,1018308,864588,684157,650984,766708,714973,505190,786922,966310,1191734,1157809,1080173,1128749,953422,706748,694267,832191,699348,720093,961819,1131356,1368712,Entradas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207132412,"Gasto total de los visitantes internacionales que egresaron del país, por tipo y medio de transporte>Excursionistas fronterizos>Peatones. Absoluto",42361191,43293290,44468788,56956942,58413315,51256536,51602298,60260270,52507722,61161399,51799859,51064830,52666698,49747512,54181646,65009259,83543807,58381387,57211676,42363944,11034360,10949467,16351961,14848078,19208029,16049420,17612041,17081630,20561481,17960691,17788981,19910744,19120634,20527790,19562504,21570417,19181553,18547327,19357861,29341398,34454233,26471347,24266532,28509162,26415079,30413940,28334421,29839103,30456286,29541877,35892986,38588511,51385585,38005654,34716952,37343600,34538863,43866614,40280775,39705048,41109522,37103030,40739556,49315092,68117619,45121373,43056514,51118603,47985028,53041858,47696159,47299931,49751659,54533036,65496160,73758976,81153483,65365521,60171576,66459696,63574289,65349064,58824403,54174963,55553838,57825410,63563490,70387372,87585555,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207132413,"Gasto medio de los visitantes internacionales que egresaron del país, por tipo y medio de transporte>Excursionistas fronterizos>Peatones. Absoluto",34.46,40.84,35.43,41.41,51.62,41.55,38.5,37.98,35.53,37.98,37.4,37.03,38.41,36.63,37.48,43.74,55.18,39.72,41.43,37.07,36.78,36.22,53.7,38.42,52.99,37.49,37.97,37.84,41.11,38.22,41.51,43.71,45.99,45.84,47.75,54.19,48.42,43.99,47.56,55.92,60.81,48.09,47.66,52.08,48.85,52.51,52.17,54.07,50.22,48.43,51.18,59.06,68.47,53.6,52.66,51.07,49.97,55.83,56.46,54.22,52.06,47.66,50.23,57.56,67.61,51.26,52.97,55.66,52.83,54.38,54.86,52.99,54.63,54.11,51.79,53.66,63.7,53.87,52.72,51.36,52.8,55.45,53,52.67,52.26,51.61,52.88,58.05,66.17,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207132414,"Número de visitantes internacionales que egresaron del país, por tipo y medio de transporte>Excursionistas fronterizos>Peatones. Absoluto",1229421,1060169,1255115,1375308,1131586,1233466,1340248,1586480,1478021,1610551,1385105,1378859,1371310,1357954,1445669,1486128,1514057,1469974,1381068,1142766,299998,302346,304498,386452,362461,428139,463902,451396,500208,469978,428576,455490,415784,447791,409644,398067,396110,421648,407021,524720,566591,550434,509168,547451,540786,579250,543068,551903,606439,609959,701320,653398,750489,709008,659230,731286,691237,785764,713421,732348,789695,778511,811098,856825,1007570,880281,812776,918347,908242,975358,869374,892698,910655,1007873,1264640,1374516,1274041,1213399,1141429,1294032,1204154,1178500,1109935,1028604,1062984,1120360,1201987,1212428,1323701,Salidas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207132415,"Gasto medio de los visitantes internacionales que egresaron del país, por tipo y medio de transporte>Excursionistas fronterizos>En automóviles. Absoluto",44,46.4,43.89,47.85,65.13,50.35,42.44,45.67,45.39,46.21,49.99,50.87,49.61,48.51,50.87,54.35,57.65,53.22,54.24,46.44,47.38,48.18,35.81,49.21,50.73,47.51,50.02,50.35,58.17,50.96,55.61,54.65,48.34,51.13,44.04,53.27,50.23,38.43,48.24,54.24,58.47,55.53,53.31,51.91,55.41,61.88,58.29,60.42,57.63,57.06,60.22,64.07,71.21,58.47,59.69,61.93,58.43,60.45,61.73,62.52,60.79,55.83,58.91,70.03,80.66,60.81,62.55,63.9,67.08,70.74,72.07,63.46,68.15,53.19,65.93,75.71,85.19,67.95,70.39,68.24,72.68,74.07,70.96,75.84,69.28,69.9,68.49,79.84,81.25,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207132416,"Número de visitantes internacionales que egresaron del país, por tipo y medio de transporte>Turistas fronterizos>Peatones. Absoluto",134802,116518,143216,145009,137167,171444,151020,181580,211082,171547,137808,142391,162143,165762,189951,174211,170616,154583,139096,133787,37220,47053,30446,57349,70262,68371,63282,58658,64191,56677,48160,71214,70648,64764,64598,73601,70701,68099,73187,66244,77427,81917,63998,71256,71082,68296,71055,74097,76014,91119,72096,76263,73716,82576,75963,94423,74131,78771,77456,87327,82635,84510,91932,84409,94014,104882,99810,92040,107660,106141,83202,98900,98215,120667,126798,119899,133723,135828,107052,114642,120647,110190,92944,99936,111661,114207,111877,88840,103394,Salidas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207132417,"Gasto total de los visitantes internacionales que egresaron del país, por tipo y medio de transporte>Excursionistas fronterizos>En automóviles. Absoluto",184919241,164019105,184990623,175915954,210385220,201921200,163243841,189482660,176012449,181251905,171519857,185404728,183461128,166619576,198906739,212604556,225789035,201181663,201218126,148295875,44292747,47920258,34932911,66592949,59650176,60123988,62460988,61282705,79655777,69691642,67997732,70729875,60614445,65110168,54235788,65501171,63448165,48159104,65332783,84649432,96297362,93418460,79495916,84639653,89861703,106636552,97245603,102989501,104828614,102580135,106050274,124313211,153541855,121540910,113612754,129534796,118560541,130128148,136349320,141647823,142544632,123483959,145595481,166406780,211081345,150923960,154338882,173678486,187851730,209224404,238254931,211133546,237725989,179302376,240761297,275651888,321476696,250815713,228020410,231222239,249550951,245337440,230176820,287445042,270907352,270782601,275913291,318948143,349347516,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207132418,"Número de visitantes internacionales que egresaron del país, por tipo y medio de transporte>Turistas de internación>Vía aérea. Absoluto",561954,465511,491942,508165,484108,514005,343058,396630,483012,474571,468538,584036,595606,511480,514349,516700,519370,503458,338351,247434,25917,26433,43977,72852,96939,97089,128716,171169,206271,208581,125363,224812,340844,430123,381658,415544,455714,396295,451925,492795,461472,424300,304114,352227,423581,420347,412743,464924,529722,465187,485053,504332,482290,532673,359451,401225,497104,495253,490670,575004,667446,561192,609680,608877,611839,644496,454646,508625,567054,586288,592556,667671,789904,663572,677275,704859,721383,727228,472501,548297,642420,634991,634746,724514,828670,670337,682919,733620,752380,Salidas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207132419,"Gasto medio de los visitantes internacionales que egresaron del país, por tipo y medio de transporte>Turistas de internación>Vía aérea. Absoluto",1083.62,1081.29,957.18,1122.37,1247.53,995.16,956.63,821.53,855.76,785.94,795.55,910.23,821.29,801.62,717.89,634.88,817.28,782.91,705.83,728.8,698.13,646.58,665.74,658.67,637.72,713.02,771.75,625.84,795.96,695.82,702.71,504.49,494.08,612.63,762.54,697.21,534.56,559.03,836.45,627.58,615.53,647.07,447.99,724.25,853.3,891.83,824.37,769.7,859.1,872.37,896.08,792.55,1027.39,795.1,720.49,892.28,904.11,936.16,916.74,1014.52,880,936.24,899.46,833.2,875.03,696.73,752.47,956.77,922.57,853.11,800.92,851.14,814.23,885.87,886.9,859.83,797.86,825.82,934.13,885.54,988.12,939.17,962.67,923.84,951.24,1024.03,1045.72,1095.26,1041.41,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207132420,"Gasto total de los visitantes internacionales que egresaron del país, por tipo y medio de transporte>Turistas fronterizos>En automóviles. Absoluto",37428780,21941775,38762189,43699813,68150464,46087538,36754262,35852960,31277346,35585337,36978581,41640422,40307011,37527696,36784834,50037282,45194347,43984810,42381399,28869516,5015378,5655040,6593371,8843652,10528023,9436896,9717007,10205699,13390252,8444703,8525689,10072501,9316658,9865918,8593956,10801573,7907946,7758032,10089425,12479495,15815926,13863131,12547741,14572447,15398241,18350740,13270374,22041423,19000531,19625060,16636828,18318650,22585012,17603260,14825305,19672760,17325390,16202204,17994348,25283664,21677789,20209138,19189592,25843950,34538752,28121926,22159668,23382410,29771528,29647938,30014783,34984316,35489672,29248966,25887040,36308842,54267471,43206174,37090147,38233666,43463467,38098132,35182530,45462022,47189825,39872017,42412088,56329191,55938177,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207132421,"Número de visitantes internacionales que egresaron del país, por tipo y medio de transporte>Turistas fronterizos>En automóviles. Absoluto",536258,401790,508337,486828,535751,450282,357655,513370,502073,453229,411785,491830,481034,460988,371205,488977,562896,467954,373559,358930,108325,123310,129901,188081,256982,152611,131598,139660,165517,160605,142051,165655,161543,161559,151268,166137,138927,162337,149153,171832,224453,229526,192565,226523,225221,234874,200625,261900,270537,264933,209948,225604,279897,275103,210386,262364,248308,235071,252568,339465,302491,321785,278597,339748,387508,370038,277742,307663,353488,350049,364392,399679,444757,381057,350013,495238,515473,515666,411606,432165,488345,420494,415395,476484,547714,454303,499919,567773,511685,Salidas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207132422,"Gasto total de los visitantes internacionales que egresaron del país, por tipo y medio de transporte>Turistas de internación>Vía aérea. Absoluto",608947258,503352021,470875998,570350420,603937126,511514962,328180001,325842000,413344685,372985613,372746534,531604856,489163165,410011203,369244460,328043422,424468664,394163751,238818308,180329993,18093505,17091091,29277208,47985506,61819777,69225968,99335966,107123919,164184419,145135220,88094279,113415045,168405251,263508330,291029266,289720565,243608125,221540582,378010935,309269287,284048503,274553832,136239255,255102016,361441186,374879238,340254589,357854259,455086595,405813459,434644397,399706143,495501694,423526048,258979514,358005895,449438194,463636514,449814427,583354441,587349263,525410064,548380471,507318914,535377262,449041770,342109719,486637147,523144486,500165511,474590241,568278225,643162327,587841675,600674608,606057996,575563349,600562443,441376067,485539494,634785973,596361625,611052628,669334085,788267198,686444934,714141206,803505833,783538947,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207132423,"Gasto total de los visitantes internacionales que egresaron del país, por tipo y medio de transporte>Turistas de internación>Vía terrestre. Absoluto",114936057,91981934,151087241,161790457,195953054,107744763,112702370,77605790,128845208,117581659,97726957,137726923,121398745,123722827,154097537,141454638,160386764,82037099,73648566,48224541,6813130,7818693,13479154,21213674,31577389,29911976,31659543,42166357,51979773,49381015,30787980,56430409,70052321,118382486,89852045,104329769,132869895,123581515,143884804,102206293,94114806,84301599,61411928,53824122,61048157,57173085,53041974,70556849,92020810,79023301,85524852,82193790,92788579,85018971,50729152,58207044,74701383,76239960,72806435,106087746,138613663,93278114,93744415,102736182,114225190,92462501,64444025,69594012,85349863,95106298,71799617,118758611,149031265,121318085,117293935,129894930,145953019,114913190,67952379,78678143,97234765,89244108,92148642,116019783,137116432,100953739,126025846,107037264,129129727,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207132424,"Gasto total de los visitantes internacionales que egresaron del país, por tipo y medio de transporte>Turistas fronterizos>Peatones. Absoluto",6868519,5549565,7018155,6781785,8966336,10598899,7067479,9153020,10167191,9048893,8044169,8408216,8316800,6874837,9932432,9889297,10173655,8126920,7253692,5655355,1368635,1491774,985825,2409542,3679311,3023018,2806254,2622787,3247778,2503051,2701442,4448641,4175028,3765139,3872476,3793143,3831019,4135067,4306002,3892864,4781083,5021057,3791940,4635513,4609658,4496574,4476228,4616387,4816831,5275241,5513237,5578758,4784997,4933955,4250445,5647280,3919750,5029770,5073260,5617903,4754789,4725918,5140011,5297233,6570761,5836440,6718499,6170106,6508345,8435993,5573505,6890112,6759111,7330362,8098926,8224719,10024021,6862222,6745417,7071224,7172498,6956231,6154621,6595670,7111743,7463232,7467950,6602678,7348431,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207132425,"Gasto medio de los visitantes internacionales que egresaron del país, por tipo y medio de transporte>Turistas fronterizos>En automóviles. Absoluto",69.8,54.61,76.25,89.76,127.21,102.35,102.76,69.84,62.3,78.52,89.8,84.66,83.79,81.41,99.1,102.33,80.29,93.99,113.45,80.43,46.3,45.86,50.76,47.02,40.97,61.84,73.84,73.08,80.9,52.58,60.02,60.8,57.67,61.07,56.81,65.02,56.92,47.79,67.64,72.63,70.46,60.4,65.16,64.33,68.37,78.13,66.15,84.16,70.23,74.08,79.24,81.2,80.69,63.99,70.47,74.98,69.77,68.92,71.25,74.48,71.66,62.8,68.88,76.07,89.13,76,79.79,76,84.22,84.7,82.37,87.53,79.8,76.76,73.96,73.32,105.28,83.79,90.11,88.47,89,90.6,84.7,95.41,86.16,87.77,84.84,99.21,109.32,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207132426,"Gasto medio de los visitantes internacionales que egresaron del país, por tipo y medio de transporte>Turistas fronterizos>Peatones. Absoluto",50.95,47.63,49,46.77,65.37,61.82,46.8,50.41,48.17,52.75,58.37,59.05,51.29,41.47,52.29,56.77,59.63,52.57,52.15,42.27,36.77,31.7,32.38,42.02,52.37,44.21,44.35,44.71,50.6,44.16,56.09,62.47,59.1,58.14,59.95,51.54,54.19,60.72,58.84,58.77,61.75,61.29,59.25,65.05,64.85,65.84,63,62.3,63.37,57.89,76.47,73.15,64.91,59.75,55.95,59.81,52.88,63.85,65.5,64.33,57.54,55.92,55.91,62.76,69.89,55.65,67.31,67.04,60.45,79.48,66.99,69.67,68.82,60.75,63.87,68.6,74.96,50.52,63.01,61.68,59.45,63.13,66.22,66,63.69,65.35,66.75,74.32,71.07,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207132427,"Número de visitantes internacionales que egresaron del país, por tipo y medio de transporte>Turistas de internación>Vía terrestre. Absoluto",479859,438191,618100,637931,694248,477970,395806,358890,558591,505183,419350,540474,512656,489865,651840,650551,753080,377682,311791,217676,27437,29140,48118,79991,105575,105896,141349,189237,232123,209490,126077,225780,341729,431091,382720,445419,481361,417003,475761,517168,485492,399079,287769,320445,373981,356720,356616,431780,487692,427187,439443,451887,435710,439675,304965,322194,385737,369737,374121,471657,544165,453988,487988,481221,492188,469523,343235,362093,383592,384969,397386,480894,565245,472234,473835,491259,513310,467756,311022,345777,388505,368608,375637,460693,510750,407952,418620,448099,469167,Salidas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207132428,"Gasto medio de los visitantes internacionales que egresaron del país, por tipo y medio de transporte>Turistas de internación>Vía terrestre. Absoluto",239.52,209.91,244.44,253.62,282.25,225.42,284.74,216.24,230.66,232.75,233.04,254.83,236.8,252.57,236.4,217.44,212.97,217.21,236.21,221.54,248.32,268.31,280.13,265.2,299.1,282.47,223.98,222.82,223.93,235.72,244.2,249.94,204.99,274.61,234.77,234.23,276.03,296.36,302.43,197.63,193.85,211.24,213.41,167.97,163.24,160.27,148.74,163.41,188.69,184.99,194.62,181.89,212.96,193.37,166.34,180.66,193.66,206.2,194.61,224.93,254.73,205.46,192.1,213.49,232.08,196.93,187.75,192.2,222.5,247.05,180.68,246.95,263.66,256.9,247.54,264.41,284.34,245.67,218.48,227.54,250.28,242.11,245.31,251.84,268.46,247.46,301.05,238.87,275.23,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207132429,"Número de visitantes internacionales que egresaron del país, por tipo y medio de transporte>Excursionistas fronterizos>En automóviles. Absoluto",4202331,3535104,4214408,3676660,3230271,4010248,3846449,4149270,3877782,3922498,3431255,3644669,3697998,3434848,3910262,3911916,3916601,3780065,3709710,3192942,934907,994651,975463,1353188,1175831,1265508,1248634,1217090,1369287,1367635,1222656,1294283,1253886,1273357,1231580,1229501,1263044,1253205,1354322,1560536,1647064,1682393,1491253,1630631,1621904,1723271,1668264,1704491,1819111,1797627,1761030,1940357,2156316,2078858,1903431,2091766,2029121,2152677,2208907,2265696,2344966,2211796,2471589,2376362,2617036,2481709,2467554,2717976,2800242,2957744,3305875,3327274,3488145,3371192,3651652,3640873,3773451,3691073,3239295,3388534,3433351,3312157,3243809,3790010,3910256,3873996,4028510,3995059,4299754,Salidas
